state,year,migration
AL,2010,1357
AL,2011,4926
AL,2012,4904
AL,2013,4834
AL,2014,5529
AL,2015,5726
AK,2010,568
AK,2011,1512
AK,2012,2737
AK,2013,2319
AK,2014,2335
AK,2015,2601
AZ,2010,2266
AZ,2011,12638
AZ,2012,13618
AZ,2013,14622
AZ,2014,16976
AZ,2015,17344
AR,2010,736
AR,2011,2816
AR,2012,3176
AR,2013,3321
AR,2014,3813
AR,2015,3893
CA,2010,29855
CA,2011,146698
CA,2012,144350
CA,2013,155560
CA,2014,177814
CA,2015,180722
CO,2010,1904
CO,2011,8826
CO,2012,11267
CO,2013,11244
CO,2014,12694
CO,2015,13322
CT,2010,3379
CT,2011,16131
CT,2012,15247
CT,2013,16005
CT,2014,18664
CT,2015,18769
DE,2010,536
DE,2011,2228
DE,2012,2524
DE,2013,2552
DE,2014,2922
DE,2015,2953
DC,2010,734
DC,2011,3351
DC,2012,3717
DC,2013,3968
DC,2014,4516
DC,2015,4551
FL,2010,24137
FL,2011,110220
FL,2012,106486
FL,2013,111357
FL,2014,128770
FL,2015,129525
GA,2010,5311
GA,2011,22187
GA,2012,25253
GA,2013,24827
GA,2014,28252
GA,2015,29141
HI,2010,2001
HI,2011,6805
HI,2012,9441
HI,2013,8899
HI,2014,9508
HI,2015,10128
ID,2010,361
ID,2011,1401
ID,2012,1750
ID,2013,1830
ID,2014,2130
ID,2015,2217
IL,2010,5605
IL,2011,28568
IL,2012,29419
IL,2013,31930
IL,2014,37162
IL,2015,37682
IN,2010,2197
IN,2011,9439
IN,2012,9877
IN,2013,10874
IN,2014,12513
IN,2015,12574
IA,2010,988
IA,2011,4840
IA,2012,5090
IA,2013,5559
IA,2014,6394
IA,2015,6409
KS,2010,1304
KS,2011,5040
KS,2012,6775
KS,2013,6377
KS,2014,7035
KS,2015,7317
KY,2010,1366
KY,2011,5124
KY,2012,6857
KY,2013,6501
KY,2014,7207
KY,2015,7400
LA,2010,1804
LA,2011,6732
LA,2012,7356
LA,2013,7222
LA,2014,8086
LA,2015,8273
ME,2010,239
ME,2011,1170
ME,2012,1258
ME,2013,1323
ME,2014,1523
ME,2015,1528
MD,2010,6108
MD,2011,26340
MD,2012,26198
MD,2013,27512
MD,2014,31027
MD,2015,31330
MA,2010,7065
MA,2011,34944
MA,2012,35490
MA,2013,37851
MA,2014,43576
MA,2015,43508
MI,2010,3796
MI,2011,17972
MI,2012,19598
MI,2013,21268
MI,2014,24255
MI,2015,24202
MN,2010,2789
MN,2011,12569
MN,2012,12501
MN,2013,13587
MN,2014,15455
MN,2015,15473
MS,2010,579
MS,2011,1843
MS,2012,2778
MS,2013,2400
MS,2014,2582
MS,2015,2770
MO,2010,1856
MO,2011,7573
MO,2012,8791
MO,2013,8922
MO,2014,10021
MO,2015,10210
MT,2010,202
MT,2011,608
MT,2012,742
MT,2013,671
MT,2014,718
MT,2015,751
NE,2010,799
NE,2011,3315
NE,2012,4052
NE,2013,4172
NE,2014,4730
NE,2015,4825
NV,2010,1538
NV,2011,7456
NV,2012,7164
NV,2013,7672
NV,2014,8963
NV,2015,9156
NH,2010,416
NH,2011,1762
NH,2012,1816
NH,2013,1906
NH,2014,2233
NH,2015,2244
NJ,2010,11089
NJ,2011,49032
NJ,2012,46157
NJ,2013,49859
NJ,2014,57086
NJ,2015,57083
NM,2010,512
NM,2011,2188
NM,2012,3147
NM,2013,3013
NM,2014,3435
NM,2015,3631
NY,2010,24096
NY,2011,112765
NY,2012,108440
NY,2013,117292
NY,2014,134010
NY,2015,134160
NC,2010,5097
NC,2011,18006
NC,2012,23515
NC,2013,21660
NC,2014,23531
NC,2015,25066
ND,2010,287
ND,2011,1036
ND,2012,1708
ND,2013,1574
ND,2014,1685
ND,2015,1767
OH,2010,3530
OH,2011,15715
OH,2012,16939
OH,2013,17915
OH,2014,20652
OH,2015,20693
OK,2010,1245
OK,2011,4972
OK,2012,6594
OK,2013,6280
OK,2014,7001
OK,2015,7267
OR,2010,1389
OR,2011,6009
OR,2012,6026
OR,2013,6754
OR,2014,7990
OR,2015,8111
PA,2010,5495
PA,2011,26979
PA,2012,29242
PA,2013,30874
PA,2014,35943
PA,2015,35942
RI,2010,860
RI,2011,3989
RI,2012,3968
RI,2013,4087
RI,2014,4667
RI,2015,4727
SC,2010,1594
SC,2011,5149
SC,2012,6682
SC,2013,5577
SC,2014,6169
SC,2015,6803
SD,2010,261
SD,2011,1268
SD,2012,1535
SD,2013,1496
SD,2014,1668
SD,2015,1696
TN,2010,1854
TN,2011,7928
TN,2012,9263
TN,2013,9153
TN,2014,10505
TN,2015,10843
TX,2010,15377
TX,2011,78610
TX,2012,82165
TX,2013,86600
TX,2014,99139
TX,2015,101558
UT,2010,989
UT,2011,4917
UT,2012,5116
UT,2013,5526
UT,2014,6355
UT,2015,6441
VT,2010,98
VT,2011,619
VT,2012,723
VT,2013,789
VT,2014,907
VT,2015,914
VA,2010,7882
VA,2011,29401
VA,2012,35132
VA,2013,33752
VA,2014,37450
VA,2015,38801
WA,2010,4556
WA,2011,20064
WA,2012,23397
WA,2013,23990
WA,2014,27203
WA,2015,27906
WV,2010,255
WV,2011,1018
WV,2012,1127
WV,2013,1170
WV,2014,1344
WV,2015,1345
WI,2010,1238
WI,2011,5872
WI,2012,6607
WI,2013,7216
WI,2014,8499
WI,2015,8569
WY,2010,113
WY,2011,380
WY,2012,606
WY,2013,553
WY,2014,619
WY,2015,661
